jan.kingdom_matrix.country,jan.kingdom_matrix.kingdom,jan.kingdom_matrix._c2,jan.kingdom_matrix.increase
KN,Plantae,1619,82.0
KP,Animalia,5737,5.0
KP,Bacteria,31,0.0
KP,Chromista,153,1.0
KP,Fungi,1229,2.0
KP,Plantae,4000,4.0
KP,Protozoa,1,0.0
KR,Animalia,1160053,1.0
KR,Archaea,7,0.0
KR,Bacteria,4411,44.0
KR,Chromista,7828,20.0
KR,Fungi,9117,36.0
KR,Plantae,663366,0.0
KR,Protozoa,2624,1.0
KR,Viruses,84,0.0
KW,Animalia,11850,216.0
KW,Bacteria,10,0.0
KW,Chromista,57,2750.0
KW,Fungi,322,0.0
KW,Plantae,1265,8.0
KW,Protozoa,52,No prior occurrences
KY,Animalia,54322,26.0
KY,Bacteria,19,6.0
KY,Chromista,1384,2.0
KY,Fungi,143,347.0
KY,Plantae,1066,127.0
KY,Protozoa,26,13.0
KZ,Animalia,64889,13.0
KZ,Archaea,1,0.0
KZ,Bacteria,12,50.0
KZ,Chromista,6,0.0
KZ,Fungi,468,15.0
KZ,Plantae,17182,11.0
KZ,Protozoa,1523,0.0
LA,Animalia,34882,53.0
LA,Fungi,28,12.0
LA,Plantae,32267,37.0
LA,Protozoa,15,No prior occurrences
LB,Animalia,12072,90.0
LB,Bacteria,27,59.0
LB,Chromista,15,0.0
LB,Fungi,108,238.0
LB,Plantae,11342,24.0
LB,Protozoa,71,29.0
LC,Animalia,16756,31.0
LC,Bacteria,18,50.0
LC,Chromista,15,7.0
LC,Fungi,955,443.0
LC,Plantae,2407,24.0
LC,Protozoa,12,0.0
LI,Animalia,3840,5.0
LI,Bacteria,5,0.0
LI,Fungi,24,50.0
LI,Plantae,1148,6.0
LI,Protozoa,14,100.0
LK,Animalia,83277,59.0
LK,Bacteria,450,32.0
LK,Chromista,331,101.0
LK,Fungi,5227,34.0
LK,Plantae,63482,129.0
LK,Protozoa,2242,2.0
LR,Animalia,55028,13.0
LR,Bacteria,17,13.0
LR,Chromista,71,1.0
LR,Fungi,148,26.0
LR,Plantae,51917,55.0
LR,Protozoa,1649,1.0
LS,Animalia,35650,6.0
LS,Bacteria,6,200.0
LS,Fungi,726,1.0
LS,Plantae,31772,2.0
LT,Animalia,7933,15.0
LT,Bacteria,4,0.0
LT,Chromista,15,114.0
LT,Fungi,424,35.0
LT,Plantae,3044,12.0
LT,Protozoa,591,15.0
LT,Viruses,1,0.0
LU,Animalia,278008,3.0
LU,Bacteria,2,0.0
LU,Chromista,6,0.0
LU,Fungi,16520,1.0
LU,Plantae,405849,1.0
LU,Protozoa,329,46.0
LU,Viruses,88,0.0
LV,Animalia,8945,33.0
LV,Bacteria,3,50.0
LV,Chromista,35,250.0
LV,Fungi,866,89.0
LV,Plantae,2661,36.0
LV,Protozoa,94,2.0
LV,Viruses,2,0.0
LY,Animalia,11841,49.0
LY,Bacteria,18,157.0
LY,Chromista,686,1.0
LY,Fungi,535,36.0
LY,Plantae,5694,26.0
LY,Protozoa,4592,3.0
MA,Animalia,127967,66.0
MA,Archaea,181,0.0
MA,Bacteria,1059,6.0
MA,Chromista,20645,60.0
MA,Fungi,7284,8.0
MA,Plantae,105072,22.0
MA,Protozoa,33979,1.0
MA,Viruses,7,0.0
MC,Animalia,1594,66.0
MC,Bacteria,1,0.0
MC,Chromista,5,0.0
MC,Fungi,12,33.0
MC,Plantae,195,112.0
MC,Protozoa,3,No prior occurrences
MD,Animalia,3130,4.0
MD,Chromista,4,33.0
MD,Fungi,42,5.0
MD,Plantae,3837,6.0
MD,Protozoa,120,9.0
ME,Animalia,6009,55.0
ME,Bacteria,18,0.0
ME,Chromista,2,100.0
ME,Fungi,1163,11.0
ME,Plantae,2601,26.0
ME,Protozoa,4,300.0
MF,Animalia,7642,17.0
MF,Chromista,3,0.0
MF,Plantae,61,5.0
MF,Protozoa,43,0.0
MG,Animalia,787054,7.0
MG,Bacteria,1287,7471.0
MG,Chromista,130,110.0
MG,Fungi,1269,34.0
MG,Plantae,349712,12.0
MG,Protozoa,3546,18.0
MH,Animalia,40358,27.0
